SKU,Produk,Group,Stok Berjalan, Harga Beli ,Nilai Stok (Rp),Stok Bln-1,Stok Bln-2,Cilandak,Karang Tengah,Cinere,Jagakarsa,Pondok Pinang,Umur Stok,Rekomendasi Aging
dt265,Famles Drip Tip Sett Dot AIO - Basic Colour,Drip Tips And Caps,9,"  381,250 "," Rp 3,431,250 ",9,9,2,2,2,2,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
at24,HexOhm V3.0 180W O Frame By Vapezoo - Red,Semi Mechanical Mod,1,"  3,385,000 "," Rp 3,385,000 ",1,1,0,0,1,0,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
at23,HexOhm V3.0 180W O Frame By Vapezoo - Plume,Semi Mechanical Mod,1,"  3,385,000 "," Rp 3,385,000 ",1,1,0,0,0,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
rda464,Dot RDA X 24mm - Gunmetal,RDA,4,"  808,333 "," Rp 3,233,333 ",5,5,1,1,0,1,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
st1090,Dotmod Dot AIO V2 Carbon Limited Edition - Carbon,All In One System,1,"  3,100,000 "," Rp 3,100,000 ",1,1,0,1,0,0,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
st913,Veepon Tita X AIO Kit 60W - Alloy Black,All In One System,2,"  1,480,000 "," Rp 2,960,000 ",2,2,0,1,1,0,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
st276,ZQ Xtal Pro Pod System New Colour 1000mAh - Aurora Borealis,BUY 1 GET 1,15,"  197,000 "," Rp 2,955,000 ",15,15,2,6,4,2,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
AIO23/1225,Dotmod Dot AIO V3 - Black,AIO 2025,2,"  1,475,000 "," Rp 2,950,000 ",2,2,1,0,0,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
aio7/1024,Dotmod Dot AIO V2 G10 Monarchy Edition - Monarchy,AIO,1,"  2,850,000 "," Rp 2,850,000 ",1,1,0,0,0,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
mec21,Banaspati V1 Reborn Mechanical 24mm - Cooper,SALE DEVICE MOD,4,"  700,000 "," Rp 2,800,000 ",4,4,1,0,1,1,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
el120,SX Mini G Class ABS Type 200W - Matte Black,SALE DEVICE MOD,2,"  1,400,000 "," Rp 2,800,000 ",2,2,0,0,1,0,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
st279,ZQ Xtal Pro Pod System New Colour 1000mAh - Sakura Sunset,BUY 1 GET 1,14,"  197,000 "," Rp 2,758,000 ",14,14,2,5,4,2,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
at62,"HexOhm V3.0 180W Box Mod Anodized Plain - Blue,White",Semi Mechanical Mod,1,"  2,747,500 "," Rp 2,747,500 ",1,1,0,0,1,0,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
BM21/1225,TRML T88 Box Mod Kit - Purple Lollipop,Box Mod 2025,4,"  670,000 "," Rp 2,680,000 ",4,4,0,1,1,1,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
at87,Authentic O-Atty 25mm RDA by Odis Collection - Stainless Steel,SALE RDA,2,"  1,325,000 "," Rp 2,650,000 ",2,2,1,0,0,0,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
ch04,Nitecore UMS4 Charger - 4 Slot,Charger,9,"  289,258 "," Rp 2,603,325 ",9,9,2,2,2,2,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
el173,Gear Box Mod V.1 Coil Gear 220W - Tiffany Blue,SALE DEVICE MOD,5,"  510,000 "," Rp 2,550,000 ",5,5,1,1,1,1,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
el171,Gear Box Mod V.1 Coil Gear 220W - Gold,SALE DEVICE MOD,5,"  510,000 "," Rp 2,550,000 ",5,5,1,1,1,1,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
dt11,The M.M.K 510 Tips Stabilised Wood - 2mm,Drip Tips And Caps,11,"  230,573 "," Rp 2,536,302 ",11,11,4,2,3,2,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
st1172,Vandy Vape Pulse Pro AIO - Pink,All In One System,3,"  840,000 "," Rp 2,520,000 ",3,3,1,1,0,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
st1083,Vandy Vape Pulse AIO Mini Kit 80W - Mint Green,SALE DEVICE MOD,4,"  630,000 "," Rp 2,520,000 ",4,4,1,1,1,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
st1080,Vandy Vape Pulse AIO Mini Kit 80W - Frosted Blue,SALE DEVICE MOD,4,"  630,000 "," Rp 2,520,000 ",4,4,1,1,1,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
AIO4/0225,LVE Boson Boro DNA80C MOD - Titanium Silver,AIO 2025,2,"  1,225,000 "," Rp 2,450,000 ",2,2,0,0,1,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
el77,Hotcig R234 VW Box Mod - Barong Golden Frost,Box Mod,5,"  450,000 "," Rp 2,250,000 ",5,5,1,1,1,1,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
wire03,Anarchist Wire - 26 Awg,Wire,23,"  95,711 "," Rp 2,201,346 ",23,23,4,4,4,6,5,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
rda288,Twisted Messes 24 Pro Series Limited Edition - White Sattin,SALE RDA,3,"  725,000 "," Rp 2,175,000 ",3,3,0,1,1,0,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
st277,ZQ Xtal Pro Pod System New Colour 1000mAh - Gradient Pink,BUY 1 GET 1,11,"  197,000 "," Rp 2,167,000 ",11,11,2,5,4,0,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
st1086,Veepon Kuka AIO 60W AIO - Black,All In One System,4,"  520,000 "," Rp 2,080,000 ",4,4,1,0,1,1,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
dt293,909 Modify Capsule Integrated Drip Tip - Stainless Steel,Drip Tips And Caps,5,"  415,000 "," Rp 2,075,000 ",5,5,1,1,1,1,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
dt292,909 Modify Capsule Integrated Drip Tip - Red,Drip Tips And Caps,5,"  415,000 "," Rp 2,075,000 ",5,5,1,1,1,1,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
el172,Gear Box Mod V.1 Coil Gear 220W - Lilac,SALE DEVICE MOD,4,"  510,000 "," Rp 2,040,000 ",4,4,1,1,0,1,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
BM22/1225,TRML T88 Box Mod Kit - Stardust,Box Mod 2025,3,"  670,000 "," Rp 2,010,000 ",3,3,1,1,0,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
acc67,Reload Ammo RBA For AIO - Black,Parts Units,1,"  1,900,000 "," Rp 1,900,000 ",1,1,0,0,0,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
st1081,Vandy Vape Pulse AIO Mini Kit 80W - Frosted Purple,SALE DEVICE MOD,3,"  630,000 "," Rp 1,890,000 ",3,3,1,1,1,0,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
acc65,Pioneer Dot RBA Dotmod AIO - Grey DLC,Parts Units,3,"  625,000 "," Rp 1,875,000 ",3,3,1,1,1,0,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
st1365,Dotmod Dot Aio X Essential 60W Kit - Gunmetal,All In One System,1,"  1,800,000 "," Rp 1,800,000 ",1,1,0,0,1,0,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
rda554,Recoil R3 Single Coil RDA - Red,RDA 2026,3,"  600,000 "," Rp 1,800,000 ",3,3,1,1,0,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
bm47/0125,TRML T99 Box Mod - Grasberg Mine,Box Mod,4,"  440,000 "," Rp 1,760,000 ",4,4,1,1,1,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
st1171,Vandy Vape Pulse Pro AIO - Green,All In One System,2,"  840,000 "," Rp 1,680,000 ",2,2,0,1,0,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
dt291,909 Modify Capsule Integrated Drip Tip - Purple,Drip Tips And Caps,4,"  415,000 "," Rp 1,660,000 ",4,4,1,1,1,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
dt289,909 Modify Capsule Integrated Drip Tip - Black,Drip Tips And Caps,4,"  415,000 "," Rp 1,660,000 ",4,4,1,1,1,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
rda477,Geekvape Tsunami Reborn Z RDA 24mm - Stainless Steel,RDA,5,"  330,000 "," Rp 1,650,000 ",5,5,1,1,1,1,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
el137,Voopoo Argus GT 2 Mod Only 200W - Lime Green,SALE DEVICE MOD,3,"  535,000 "," Rp 1,605,000 ",3,3,1,1,1,0,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
el628,Lost Vape Centaurus M200 Chaos Topus - Purple,Electrical Mods,3,"  530,000 "," Rp 1,590,000 ",3,3,1,1,0,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
bm40/1224,Lost Vape Centaurus M200 Edition Anniversary - Pink Formless,Box Mod,3,"  530,000 "," Rp 1,590,000 ",3,3,1,0,1,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
acc184,Veepon Tita RBA - Purple,Parts Units,4,"  395,000 "," Rp 1,580,000 ",4,4,1,1,1,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
acc154,Veepon Tita RBA - Black,Parts Units,4,"  395,000 "," Rp 1,580,000 ",4,4,1,1,2,0,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
APM01,Artha Pod Mod Gen 2 By Fatriio X Advken - Aurora Blue,PROMOTION DEVICE,9,"  174,630 "," Rp 1,571,667 ",9,9,2,4,1,0,2,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
el103,Lost Vape Centaurus Q200 Box Mod - Gold Teak Wood,SALE DEVICE MOD,4,"  380,000 "," Rp 1,520,000 ",4,4,0,1,2,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
rda452,TOT X RDA 24mm Dual Coil - Stainless Steel,RDA,5,"  300,000 "," Rp 1,500,000 ",5,5,1,1,1,1,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
el632,Vox Mod 200W Mod Only - Rose Pink,Electrical Mods,3,"  500,000 "," Rp 1,500,000 ",3,3,1,1,1,0,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
acc126,Chariot Nano Kit 2ml Arcana Mods - Nano Kit,Parts Units,4,"  375,000 "," Rp 1,500,000 ",4,4,1,1,1,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
rda126,Dead Rabbit V3 RDA Carbon Series - Red CF,RDA,5,"  295,000 "," Rp 1,475,000 ",5,5,1,1,1,2,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
rda124,Dead Rabbit V3 RDA Carbon Series - Blue CF,RDA,5,"  295,000 "," Rp 1,475,000 ",5,5,1,1,1,1,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
rda105,Reload Essential RDA 24mm - Stainless Steel,RDA,2,"  730,000 "," Rp 1,460,000 ",2,2,0,1,1,0,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
ACC414,Sturdy One Titanium Accesories - Titanium,PART UNIT 2026,2,"  725,000 "," Rp 1,450,000 ",0,2,0,0,1,1,0,Aged ~2 bln,Prioritas: clearance 30-50% / retur supplier
bm42/0125,Hotcig R234 Pro VW Box Mod - Calamity Orange,Box Mod,3,"  480,000 "," Rp 1,440,000 ",3,3,1,1,1,0,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
el225,Dotbox 220W By Dotmod - Red,Electrical Mods,1,"  1,400,000 "," Rp 1,400,000 ",1,1,0,0,1,0,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
AIO22/0825,Dotmod DotApollo AIO X Mission - Red,AIO 2025,1,"  1,400,000 "," Rp 1,400,000 ",1,1,1,0,0,0,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
rda459,Drop Dead 2 RDA 24mm - Matte Black,RDA,5,"  275,000 "," Rp 1,375,000 ",5,5,1,1,1,1,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
rda458,Drop Dead 2 RDA 24mm - Gunmetal,RDA,5,"  275,000 "," Rp 1,375,000 ",5,5,1,1,1,1,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
rda457,Drop Dead 2 RDA 24mm - Gold,RDA,5,"  275,000 "," Rp 1,375,000 ",5,5,1,1,1,2,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
rda455,Drop Dead 2 RDA 24mm - Bloody Mess,RDA,5,"  275,000 "," Rp 1,375,000 ",5,5,1,1,1,1,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
rda25,Dead Rabbit V3 RDA 24mm By Hellvape - Turquoise,RDA,5,"  275,000 "," Rp 1,375,000 ",5,5,1,1,1,1,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
OPS205/1125,Mechvape The X SBS Pod 50W - Cold Silver,Pod System 2025,5,"  275,000 "," Rp 1,375,000 ",5,5,1,1,1,1,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
OPS204/1125,Mechvape The X SBS Pod 50W - Blue,Pod System 2025,5,"  275,000 "," Rp 1,375,000 ",5,5,1,1,1,1,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
rda53,AN RDA V2 Coilturd 24mm - White,RDA,2,"  680,000 "," Rp 1,360,000 ",2,2,1,1,0,0,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
el72,Hotcig R234 VW Box Mod - Red Cyber,Box Mod,3,"  450,000 "," Rp 1,350,000 ",3,3,1,1,1,0,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
rda475,Geekvape Tsunami Reborn Z RDA 24mm - Gunmetal,RDA,4,"  330,000 "," Rp 1,320,000 ",4,4,1,1,1,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
ops81/824,Aspire Cloudflask X Pod Kit - Amber,Open Pod System,4,"  330,000 "," Rp 1,320,000 ",5,5,1,1,0,1,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
bm36/1224,TRML T99 Box Mod - Scarlet Pink,Box Mod,3,"  440,000 "," Rp 1,320,000 ",3,3,0,1,1,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
bm33/1224,TRML T99 Box Mod - Black Panther,Box Mod,3,"  440,000 "," Rp 1,320,000 ",3,3,1,0,1,0,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
OPS158/0825,Aspire Nexi Pro Combo Kit - Metallic Jade,Pod System 2025,5,"  255,000 "," Rp 1,275,000 ",5,5,1,1,1,1,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
OPS156/0825,Aspire Nexi Pro Combo Kit - Dark Blue,Pod System 2025,5,"  255,000 "," Rp 1,275,000 ",5,5,1,1,1,1,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
ch22,BlackCell BU4 USB Smart Charger - 4 Slot,Charger,10,"  126,386 "," Rp 1,263,860 ",10,10,2,2,1,4,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
st1281,SXK BMM Borat DNA 60W - Black,All In One System,1,"  1,250,000 "," Rp 1,250,000 ",1,1,0,1,0,0,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
USA29,"Monster Vape Labs Blackberry Jam Cukai 2025 - 60ml,6mg",USA 60ml 2025,8,"  155,000 "," Rp 1,240,000 ",8,8,2,2,2,1,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
AIO1/0225,LVE Boson Boro DNA80C MOD - Black,AIO 2025,1,"  1,225,000 "," Rp 1,225,000 ",1,1,1,0,0,0,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
st475,Volta 200W Kit - Pink White,SALE DEVICE MOD,3,"  400,000 "," Rp 1,200,000 ",3,3,1,0,0,1,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
st474,Volta 200W Kit - Black Gold,SALE DEVICE MOD,3,"  400,000 "," Rp 1,200,000 ",3,3,0,0,1,1,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
rda553,Recoil R3 Single Coil RDA - Purple,RDA 2026,2,"  600,000 "," Rp 1,200,000 ",2,2,1,0,0,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
rda552,Recoil R3 Single Coil RDA - Green,RDA 2026,2,"  600,000 "," Rp 1,200,000 ",2,2,1,0,0,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
rda451,TOT X RDA 24mm Dual Coil - Gunmetal,RDA,4,"  300,000 "," Rp 1,200,000 ",4,4,1,1,1,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
rda450,TOT X RDA 24mm Dual Coil - Black,RDA,4,"  300,000 "," Rp 1,200,000 ",4,4,1,1,1,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
acc185,Veepon Tita RBA - Silver,Parts Units,3,"  395,000 "," Rp 1,185,000 ",3,3,1,1,1,0,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
rda23,Dead Rabbit V3 RDA 24mm By Hellvape - Red,RDA,4,"  295,000 "," Rp 1,180,000 ",4,4,1,1,1,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
rda16,Dead Rabbit V3 RDA 24mm By Hellvape - Blue,RDA,4,"  295,000 "," Rp 1,180,000 ",4,4,1,1,1,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
st230,Vamped Pro Plus 1000mAh - Blue,BUY 1 GET 1,13,"  90,000 "," Rp 1,170,000 ",13,13,2,4,4,2,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
el622,Lost Vape Centaurus M100 Reguler Edition - Interstellar,Electrical Mods,3,"  390,000 "," Rp 1,170,000 ",3,3,1,1,0,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
el374,ZQ Essent SE 80W Box Mod - DLC Full Black,PROMOTION DEVICE,2,"  580,000 "," Rp 1,160,000 ",2,2,0,1,1,0,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
el105,Lost Vape Centaurus Q200 Box Mod - Royal Blue Wave Coral,SALE DEVICE MOD,3,"  380,000 "," Rp 1,140,000 ",3,3,1,0,1,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
rda462,Drop Dead 2 RDA 24mm - Stainless Steel,RDA,4,"  275,000 "," Rp 1,100,000 ",4,4,1,1,1,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
rda461,Drop Dead 2 RDA 24mm - Rainbow,RDA,4,"  275,000 "," Rp 1,100,000 ",4,4,1,1,1,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
rda460,Drop Dead 2 RDA 24mm - Matte Full Black,RDA,4,"  275,000 "," Rp 1,100,000 ",4,4,2,1,1,0,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
rda456,Drop Dead 2 RDA 24mm - Blue,RDA,4,"  275,000 "," Rp 1,100,000 ",4,4,1,1,1,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
rda22,Dead Rabbit V3 RDA 24mm By Hellvape - Rainbow,RDA,4,"  275,000 "," Rp 1,100,000 ",4,4,1,1,1,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
OPS206/1125,Mechvape The X SBS Pod 50W - Pink,Pod System 2025,4,"  275,000 "," Rp 1,100,000 ",4,4,1,1,1,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
OPS203/1125,Mechvape The X SBS Pod 50W - Black,Pod System 2025,4,"  275,000 "," Rp 1,100,000 ",4,4,1,1,1,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
ACC413,Recoil R3 Chamber Kit - Reguler,PART UNIT 2026,4,"  275,000 "," Rp 1,100,000 ",4,4,1,1,1,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
st599,Asvape Hita Mech Reinvent Pod Kit 1000mAh - Copper,BUY 1 GET 1,6,"  180,000 "," Rp 1,080,000 ",6,6,2,2,1,0,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
rda271,Dang RDA 24mm By Recoil RDA - Ultem,RDA,2,"  540,000 "," Rp 1,080,000 ",2,2,0,1,0,0,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
rda269,Dang RDA 24mm By Recoil RDA - Rainbow,RDA,2,"  540,000 "," Rp 1,080,000 ",2,2,0,1,0,0,1,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
el625,Lost Vape Centaurus M100 Reguler Edition - Midnight Blue,Electrical Mods,3,"  360,000 "," Rp 1,080,000 ",3,3,1,1,0,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
el624,Lost Vape Centaurus M100 Reguler Edition - Lunar Pink,Electrical Mods,3,"  360,000 "," Rp 1,080,000 ",3,3,0,1,2,0,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
el620,Lost Vape Centaurus M100 Reguler Edition - Gunmetal Gray,Electrical Mods,3,"  360,000 "," Rp 1,080,000 ",3,3,1,0,1,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
ops9/724,Elf X Pro Pod Kit 45W 1200mAh - Blue,Open Pod System,4,"  269,000 "," Rp 1,076,000 ",4,4,1,1,1,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
ops12/724,Elf X Pro Pod Kit 45W 1200mAh - Purple,Open Pod System,4,"  269,000 "," Rp 1,076,000 ",4,4,1,1,1,1,0,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
rc96,Dot AIO Coil - 1.2 Ohm Kanthal Clapton,Coil,25,"  43,000 "," Rp 1,075,000 ",25,25,5,5,5,5,5,Aged ≥ 3 bln,Prioritas: clearance 30-50% / retur supplier
